62 sentences up to 1000 tokens
Saheb	-	MR	-	
lavkar	-	MR	-	
karyvahi	-	MR	-	
kara	-	MR	-	
nani	-	MR	-	
tar	-	MR	-	
Raajinaame	-	MR	-	
cha	-	MR	-	
khotapan	-	MR	-	
aani	-	MR	-	
mmrda	-	MR	-	
pwd	-	MR	-	
war	-	MR	-	
bota	-	MR	-	
takaycha	-	MR	-	
thamva	-	MR	-	
anani	-	MR	-	
jya	-	MR	-	
mude	-	MR	-	
kaama	-	MR	-	
saathi	-	MR	-	
aamhi	-	MR	-	
tumhala	-	MR	-	
nemla	-	MR	-	
te	-	MR	-	
kaame	-	MR	-	
Kara	-	MR	-	
Todnya	-	MR	-	
aivji	-	MR	-	
tyane	-	MR	-	
manuke	-	MR	-	
pan	-	MR	-	
banvta	-	MR	-	
yetil	-	MR	-	
tyatun	-	MR	-	
pan	-	MR	-	
utpanna	-	MR	-	
milu	-	MR	-	
shakel	-	MR	-	
loss	EN	-	-	
tar	-	MR	-	
sagle	-	MR	-	
ch	-	MR	-	
handle	EN	-	-	
karat	-	MR	-	
aahet	-	MR	-	
baki	-	MR	-	
loka	-	MR	-	
kase	-	MR	-	
tyanche	-	MR	-	
ashru	-	MR	-	
dakhvnar	-	MR	-	
himmat	-	MR	-	
haru	-	MR	-	
naka	-	MR	-	
Babya	-	MR	-	
la	-	MR	-	
ghet	-	MR	-	
ja	-	MR	-	
re	-	MR	-	
Sivsena	-	MR	-	
ne	-	MR	-	
changale	-	MR	-	
nirnay	-	MR	-	
ghetla	-	MR	-	
Dabhade	-	MR	-	
kya	-	MR	-	
aapke	-	MR	-	
paas	-	MR	-	
jivan	-	MR	-	
sanjivani	-	MR	-	
ke	-	MR	-	
dr	-	MR	-	
ka	-	MR	-	
nmbr	-	MR	-	
hai	-	MR	-	
tai	-	MR	-	
me	-	MR	-	
maharashtcha	-	MR	-	
ahho	-	MR	-	
tumhi	-	MR	-	
ata	-	MR	-	
paryant	-	MR	-	
mala	-	MR	-	
follow	EN	-	-	
back	EN	-	-	
ka	-	MR	-	
pan	-	MR	-	
nahi	-	MR	-	
dila	-	MR	-	
Mangnya	-	MR	-	
jamat	-	MR	-	
nai	-	MR	-	
Vasuli	-	MR	-	
bhai	-	MR	-	
hait	-	MR	-	
te	-	MR	-	
Phone	EN	-	-	
bin	EN	-	-	
sodun	-	MR	-	
bola	-	MR	-	
Te	-	MR	-	
raktat	-	MR	-	
nai	-	MR	-	
Ha	-	MR	-	
shinde	-	MR	-	
ani	-	MR	-	
tyachyakde	-	MR	-	
gelela	-	MR	-	
ek	-	MR	-	
pn	-	MR	-	
manus	-	MR	-	
nivdun	-	MR	-	
nahi	-	MR	-	
ala	-	MR	-	
pahije	-	MR	-	
Tumcha	-	MR	-	
khup	-	MR	-	
aadar	-	MR	-	
karaycho	-	MR	-	
Pan	-	MR	-	
Kejriwalanchi	-	MR	-	
baju	-	MR	-	
eikun	-	MR	-	
na	-	MR	-	
gheta	-	MR	-	
tumhipan	-	MR	-	
itaransarkhe	-	MR	-	
tyanna	-	MR	-	
aropi	-	MR	-	
banavlet	-	MR	-	
yacha	-	MR	-	
raag	-	MR	-	
alay	-	MR	-	
mala	-	MR	-	
jahangir	-	MR	-	
art	EN	-	-	
galleri	-	MR	-	
yethe	-	MR	-	
mahalakshmi	-	MR	-	
vanakhedkar	-	MR	-	
yanchya	-	MR	-	
maahi	-	MR	-	
arts	EN	-	-	
yojit	-	MR	-	
chitra	-	MR	-	
pradarshneela	-	MR	-	
nuktich	-	MR	-	
bhet	-	MR	-	
dili	-	MR	-	
me	-	MR	-	
chitrakalechaa	-	MR	-	
tajjna	-	MR	-	
naahi	-	MR	-	
parantu	-	MR	-	
rang	EN	-	-	
ani	-	MR	-	
chitrancha	-	MR	-	
chahta	-	MR	-	
maatr	-	MR	-	
aahe	-	MR	-	
je	-	MR	-	
chitra	-	MR	-	
pahun	-	MR	-	
man	EN	-	-	
harkhun	-	MR	-	
jail	EN	-	-	
te	-	MR	-	
chitra	-	MR	-	
sundar	-	MR	-	
ashi	-	MR	-	
majhi	-	MR	-	
sadhisaral	-	MR	-	
vyakhya	-	MR	-	
yatli	-	MR	-	
anek	-	MR	-	
chitra	-	MR	-	
mala	-	MR	-	
tashich	-	MR	-	
watali	-	MR	-	
Prashn	-	MR	-	
bar	EN	-	-	
bar	EN	-	-	
gayab	-	MR	-	
Kaun	-	MR	-	
krta	-	MR	-	
prash	-	MR	-	
aamhi	-	MR	-	
pn	-	MR	-	
vachto	-	MR	-	
na	-	MR	-	
sabjo	-	MR	-	
pasoon	-	MR	-	
majabudaari	-	MR	-	
paryant	-	MR	-	
kaay	-	MR	-	
lihile	-	MR	-	
aahe	-	MR	-	
koni	-	MR	-	
sangel	-	MR	-	
kaa	-	MR	-	
Tyachi	-	MR	-	
vishvasharta	-	MR	-	
itar	-	MR	-	
vrattapartan	-	MR	-	
peksha	-	MR	-	
jast	-	MR	-	
aahe	-	MR	-	
He	-	MR	-	
kabul	-	MR	-	
kara	-	MR	-	
Jai	-	MR	-	
Maharashtra	-	MR	-	
Bhawa	-	MR	-	
ya	-	MR	-	
kadhi	-	MR	-	
try	EN	-	-	
nandurbar	-	MR	-	
la	-	MR	-	
