4895 sentences up to 1000 tokens
AMK	-	-	NE	
ganesh	-	-	NE	
india	-	-	NE	
bollywood	-	-	NE	
Pakistan	-	-	NE	
Pakistan	-	-	NE	
NCP	-	-	NE	
ABP	-	-	NE	
Muslim	-	-	NE	
modi	-	-	NE	
TV	-	-	NE	
Rajesh	-	-	NE	
NCP	-	-	NE	
NCP	-	-	NE	
BJP	-	-	NE	
shri	-	-	NE	
tweet	-	-	NE	
MNS	-	-	NE	
pune	-	-	NE	
mumbai	-	-	NE	
pune	-	-	NE	
RT	-	-	NE	
Deshmukh	-	-	NE	
rajesh	-	-	NE	
mumbai	-	-	NE	
cm	-	-	NE	
cm	-	-	NE	
IR	-	-	NE	
MGB	-	-	NE	
nagpur	-	-	NE	
nagpur	-	-	NE	
sara	-	-	NE	
sara	-	-	NE	
BJP	-	-	NE	
ajit	-	-	NE	
Delhi	-	-	NE	
FIR	-	-	NE	
shri	-	-	NE	
krishna	-	-	NE	
rao	-	-	NE	
YFP	-	-	NE	
pakistan	-	-	NE	
modi	-	-	NE	
BJP	-	-	NE	
OBC	-	-	NE	
EWS	-	-	NE	
CM	-	-	NE	
Pakistan	-	-	NE	
MVA	-	-	NE	
India	-	-	NE	
pune	-	-	NE	
jane	-	-	NE	
india	-	-	NE	
Mumbai	-	-	NE	
Mumbai	-	-	NE	
Mumbai	-	-	NE	
TRP	-	-	NE	
mumbai	-	-	NE	
EVM	-	-	NE	
Mumbai	-	-	NE	
TRP	-	-	NE	
deshmukh	-	-	NE	
LA	-	-	NE	
modi	-	-	NE	
modi	-	-	NE	
Mumbai	-	-	NE	
MM	-	-	NE	
nagpur	-	-	NE	
CM	-	-	NE	
BJP	-	-	NE	
ncp	-	-	NE	
BJP	-	-	NE	
Bbc	-	-	NE	
google	-	-	NE	
Jane	-	-	NE	
SSC	-	-	NE	
bollywood	-	-	NE	
JKV	-	-	NE	
Mumbai	-	-	NE	
Pune	-	-	NE	
MVA	-	-	NE	
india	-	-	NE	
Modi	-	-	NE	
modi	-	-	NE	
MM	-	-	NE	
EG	-	-	NE	
delhi	-	-	NE	
MBA	-	-	NE	
rajesh	-	-	NE	
Bollywood	-	-	NE	
bollywood	-	-	NE	
Mumbai	-	-	NE	
Bollywood	-	-	NE	
bollywood	-	-	NE	
AB	-	-	NE	
Islam	-	-	NE	
shri	-	-	NE	
shri	-	-	NE	
Modi	-	-	NE	
shri	-	-	NE	
shri	-	-	NE	
shri	-	-	NE	
BJP	-	-	NE	
BJP	-	-	NE	
Gujarat	-	-	NE	
GR	-	-	NE	
YOU	-	-	NE	
tweet	-	-	NE	
GDP	-	-	NE	
mumbai	-	-	NE	
kolhapur	-	-	NE	
India	-	-	NE	
mumbai	-	-	NE	
Kolhapur	-	-	NE	
kolhapur	-	-	NE	
MIM	-	-	NE	
shri	-	-	NE	
tweet	-	-	NE	
OR	-	-	NE	
modi	-	-	NE	
MM	-	-	NE	
Mira	-	-	NE	
TRP	-	-	NE	
TRP	-	-	NE	
shri	-	-	NE	
Pune	-	-	NE	
Bihar	-	-	NE	
CTS	-	-	NE	
modi	-	-	NE	
SRL	-	-	NE	
modi	-	-	NE	
BJP	-	-	NE	
BJP	-	-	NE	
CKP	-	-	NE	
STI	-	-	NE	
modi	-	-	NE	
Delhi	-	-	NE	
modiji	-	-	NE	
INDIA	-	-	NE	
krishna	-	-	NE	
YouTube	-	-	NE	
deshmukh	-	-	NE	
Mumbai	-	-	NE	
Kolhapur	-	-	NE	
mumbai	-	-	NE	
Modi	-	-	NE	
Mumbai	-	-	NE	
Mumbai	-	-	NE	
POK	-	-	NE	
Mumbai	-	-	NE	
Mumbai	-	-	NE	
pune	-	-	NE	
mumbai	-	-	NE	
krishna	-	-	NE	
Pune	-	-	NE	
JKV	-	-	NE	
mumbai	-	-	NE	
YouTube	-	-	NE	
MST	-	-	NE	
YT	-	-	NE	
Kolhapur	-	-	NE	
pune	-	-	NE	
modi	-	-	NE	
BJP	-	-	NE	
BJP	-	-	NE	
IT	-	-	NE	
bollywood	-	-	NE	
shri	-	-	NE	
krishna	-	-	NE	
kolhapur	-	-	NE	
modi	-	-	NE	
PM	-	-	NE	
Ganesh	-	-	NE	
MI	-	-	NE	
Mumbai	-	-	NE	
RSS	-	-	NE	
RT	-	-	NE	
Mumbai	-	-	NE	
TR	-	-	NE	
VR	-	-	NE	
TG	-	-	NE	
Mumbai	-	-	NE	
CNG	-	-	NE	
ICU	-	-	NE	
ST	-	-	NE	
smith	-	-	NE	
Germany	-	-	NE	
britain	-	-	NE	
Britain	-	-	NE	
Chatrapati	-	-	NE	
CBI	-	-	NE	
modi	-	-	NE	
bihar	-	-	NE	
bihar	-	-	NE	
bihar	-	-	NE	
Gujarat	-	-	NE	
Gujarat	-	-	NE	
bbc	-	-	NE	
amazon	-	-	NE	
BJP	-	-	NE	
CM	-	-	NE	
BJP	-	-	NE	
cm	-	-	NE	
Allah	-	-	NE	
Bombay	-	-	NE	
Thackeray	-	-	NE	
BMX	-	-	NE	
Mumbai	-	-	NE	
shri	-	-	NE	
