59 sentences up to 1000 tokens
Tai	-	MR	-	
tumhi	-	MR	-	
temperature	EN	-	-	
mention	EN	-	-	
nahi	-	MR	-	
kele	-	MR	-	
tumhi	-	MR	-	
video	EN	-	-	
madhe	-	MR	-	
aswacchata	-	MR	-	
dakhvali	-	MR	-	
mhnun	-	MR	-	
bolalo	-	MR	-	
shevti	-	MR	-	
tumhi	-	MR	-	
face	EN	-	-	
kartay	-	MR	-	
ya	-	MR	-	
gostina	-	MR	-	
take	EN	-	-	
care	EN	-	-	
no	EN	-	-	
gane	-	MR	-	
shinde	-	MR	-	
shahi	-	MR	-	
me	-	MR	-	
ajahi	-	MR	-	
bhajpachya	-	MR	-	
gundgardeela	-	MR	-	
ani	-	MR	-	
varchasvvadala	-	MR	-	
chaparaak	-	MR	-	
dyaychi	-	MR	-	
mhanun	-	MR	-	
congress	EN	-	-	
laa	-	MR	-	
mat	-	MR	-	
dyayla	-	MR	-	
tayar	-	MR	-	
aahe	-	MR	-	
pan	-	MR	-	
rajasthan	-	MR	-	
madhye	-	MR	-	
sachin	-	MR	-	
payalat	-	MR	-	
laa	-	MR	-	
mukhyamantri	-	MR	-	
pad	-	MR	-	
dilan	-	MR	-	
gayle	-	MR	-	
naahi	-	MR	-	
yavarun	-	MR	-	
congress	EN	-	-	
netyanchi	-	MR	-	
gandhi	-	MR	-	
pariwarasamorchi	-	MR	-	
ji	-	MR	-	
hujuri	-	MR	-	
lakshaat	-	MR	-	
yete	-	MR	-	
Ata	-	MR	-	
ghya	-	MR	-	
interview	EN	-	-	
yacha	-	MR	-	
bogus	EN	-	-	
baba	-	MR	-	
loksabhechya	-	MR	-	
whilich	-	MR	-	
prabal	-	MR	-	
virdohi	-	MR	-	
paksh	-	MR	-	
hi	-	MR	-	
bhoomika	-	MR	-	
raaj	-	MR	-	
yanni	-	MR	-	
ghyayla	-	MR	-	
paahije	-	MR	-	
hotimanje	-	MR	-	
vidhansabhela	-	MR	-	
phayda	-	MR	-	
jhaalaa	-	MR	-	
asatapune	-	MR	-	
nashik	-	MR	-	
thanyaat	-	MR	-	
manase	-	MR	-	
so	EN	-	-	
aahet	-	MR	-	
atta	-	MR	-	
kejariwal	-	MR	-	
dilhit	-	MR	-	
aapchi	-	MR	-	
ji	-	MR	-	
niti	-	MR	-	
vaaparataat	-	MR	-	
ti	-	MR	-	
mansene	-	MR	-	
maharashtrat	-	MR	-	
ghyayla	-	MR	-	
paahizeekala	-	MR	-	
chalo	-	MR	-	
reyanda	-	MR	-	
ushir	-	MR	-	
jhaalaai	-	MR	-	
pan	-	MR	-	
while	EN	-	-	
geleli	-	MR	-	
naahi	-	MR	-	
Mi	-	MR	-	
Swati	-	MR	-	
Jwarichya	-	MR	-	
noodles	-	MR	-	
mi	-	MR	-	
ya	-	MR	-	
adodar	-	MR	-	
banavalya	-	MR	-	
aahet	-	MR	-	
pan	-	MR	-	
tumachi	-	MR	-	
receipy	-	MR	-	
mala	-	MR	-	
pahayachi	-	MR	-	
hoti	-	MR	-	
Tumachyach	-	MR	-	
bhashet	-	MR	-	
sangate	-	MR	-	
BHANNAT	-	MR	-	
Mi	-	MR	-	
nehmich	-	MR	-	
tumachya	-	MR	-	
recepies	-	MR	-	
baghate	-	MR	-	
aani	-	MR	-	
try	EN	-	-	
karte	-	MR	-	
Mi	-	MR	-	
ukdichya	-	MR	-	
modkasarakhya	-	MR	-	
jwarichya	-	MR	-	
pithala	-	MR	-	
ukad	-	MR	-	
kadhun	-	MR	-	
banavate	-	MR	-	
Thank	EN	-	-	
you	EN	-	-	
Tip	EN	-	-	
Tya	-	MR	-	
fry	EN	-	-	
kelyavar	-	MR	-	
pan	-	MR	-	
khup	-	MR	-	
sundar	-	MR	-	
lagtat	-	MR	-	
halakya	-	MR	-	
gulakya	-	MR	-	
hotat	-	MR	-	
Sagale	-	MR	-	
cake	EN	-	-	
khup	-	MR	-	
chan	-	MR	-	
zalet	-	MR	-	
